n	w	h	p	hrec	vrec	hconv	vconv
5	256	256	256	3685133	3900648	2755193	2626602
5	384	384	384	6380038	9076011	5916360	6179537
5	512	512	512	11002022	37927676	10505268	11654261
5	640	640	640	17181071	31777460	16545176	16729824
5	768	768	768	24938270	67675851	23748991	24901039
5	896	896	896	33439857	65713194	32392031	32920416
5	1024	1024	1024	44088005	178084272	42537869	46955183
10	256	256	256	4976763	5627089	5609328	6350241
10	384	384	384	11283825	13308063	12754832	13165486
10	512	512	512	19871411	49421412	22890255	25784703
10	640	640	640	31331107	46449803	35973852	36994100
10	768	768	768	44439157	94415802	52265738	57027338
10	896	896	896	61077928	94281274	71101542	72466189
10	1024	1024	1024	79569026	232532783	93308788	105758323
15	256	256	256	7091748	8012840	7821771	8666435
15	384	384	384	16014139	18342198	17366026	19531066
15	512	512	512	28914724	60721534	31770673	36511669
15	640	640	640	44692413	61337078	49388713	54667736
15	768	768	768	65014596	114398682	71431289	81278949
15	896	896	896	88369419	121197217	97763980	102375352
15	1024	1024	1024	115339441	284849738	128145717	150761809
