n	w	h	p	hrec	vrec	hconv	vconv
5	256	256	256	2930006	3750347	40068	51579
5	384	384	384	6405569	9783669	67942	81255
5	512	512	512	11046208	38351788	92694	113941
5	640	640	640	17377609	26162916	111972	122314
5	768	768	768	25263429	71708590	153598	175388
5	896	896	896	33727066	51265974	140382	167967
5	1024	1024	1024	43826078	184589734	210968	259275
10	256	256	256	4958986	5666825	117732	162572
10	384	384	384	11114001	14578278	192785	241292
10	512	512	512	19924274	52984614	263270	362875
10	640	640	640	31518999	41846810	297314	374468
10	768	768	768	44732122	98321445	395445	515715
10	896	896	896	61195835	80877569	444439	555226
10	1024	1024	1024	79707968	256316103	534150	748116
15	256	256	256	7224783	7984384	232731	334661
15	384	384	384	16331840	20168486	361576	494893
15	512	512	512	28675816	63700876	497887	708737
15	640	640	640	45036873	60940912	589939	825181
15	768	768	768	64749502	119328137	758569	1039879
15	896	896	896	88092028	107214309	832584	1069766
15	1024	1024	1024	116063414	293330754	1005729	1462053
