n	w	h	p	hrec	vrec	hconv	vconv
5	256	256	256	3267486	3780742	41831	48645
5	384	384	384	6277655	8118646	59271	68630
5	512	512	512	10968583	35042663	109274	124561
5	640	640	640	17104405	26101914	98986	115146
5	768	768	768	24586217	52506064	148266	164925
5	896	896	896	34072512	51161746	135202	166336
5	1024	1024	1024	44464560	166723840	206993	260268
10	256	256	256	4955575	5603526	159296	155187
10	384	384	384	11360518	13779732	176518	218090
10	512	512	512	19788922	47919662	266551	366118
10	640	640	640	32062400	41237655	291625	362518
10	768	768	768	44954563	78482691	390239	491346
10	896	896	896	62218648	80711195	411956	516550
10	1024	1024	1024	79300011	242532495	526216	740558
15	256	256	256	7121325	7969694	232130	328512
15	384	384	384	16033183	18764509	350781	487241
15	512	512	512	28574104	58972489	503661	705111
15	640	640	640	44884566	54497825	602096	845272
15	768	768	768	64673737	98345352	741971	1016697
15	896	896	896	88605536	107183745	951737	1054156
15	1024	1024	1024	115698274	280948276	1019789	1441011
