n	w	h	p	hrec	vrec	hconv	vconv
5	256	256	256	1281460	1238343	12329	16491
5	384	384	384	2812901	3084787	19897	25567
5	512	512	512	5057206	13594428	56410	64203
5	640	640	640	7551955	9332641	34142	43270
5	768	768	768	10871469	21079807	68867	79945
5	896	896	896	14843018	18211622	50335	67490
5	1024	1024	1024	19472771	57940208	106092	129782
10	256	256	256	1835622	2020697	42888	47514
10	384	384	384	4158477	4716849	69339	66887
10	512	512	512	7338966	21856362	116541	156500
10	640	640	640	11425894	14887203	112626	111412
10	768	768	768	16393907	34350726	170110	167375
10	896	896	896	23145206	27777310	159809	165483
10	1024	1024	1024	29149657	98168272	229722	470262
15	256	256	256	2433850	2912755	79108	127040
15	384	384	384	5482886	6099534	120667	127841
15	512	512	512	9774721	27533331	196237	355419
15	640	640	640	15212091	19420804	204036	215313
15	768	768	768	21943356	43942450	285756	401099
15	896	896	896	29885488	36657486	289611	309427
15	1024	1024	1024	39162223	132476207	385612	755266
