n	w	h	p	hrec	vrec	hconv	vconv
5	256	256	256	1304471	767173	16415	22258
5	384	384	384	2320228	1501051	21325	28405
5	512	512	512	3565450	2263644	41229	59822
5	640	640	640	5161802	3444122	40896	41114
5	768	768	768	7376498	4970337	65742	77644
5	896	896	896	10012280	6751197	49033	58715
5	1024	1024	1024	13097553	9150889	106033	140170
10	256	256	256	1845007	1317394	46747	57084
10	384	384	384	4136524	2966892	66081	67089
10	512	512	512	7277943	5951511	116747	168237
10	640	640	640	11411805	8271578	124502	120739
10	768	768	768	16356331	12685798	167875	184302
10	896	896	896	22434284	16261157	154983	158162
10	1024	1024	1024	29010077	24230754	227193	349500
15	256	256	256	2061952	1795231	78763	133085
15	384	384	384	4689143	4041332	118644	129431
15	512	512	512	8224776	9481267	201254	367245
15	640	640	640	12884454	11261119	201813	217165
15	768	768	768	18523851	16658367	274229	425277
15	896	896	896	26168966	22209955	283677	304067
15	1024	1024	1024	32849960	39129615	388300	754062
